C0210018,20281,4B,1747832400,131712,0,0,0,0,0,4056,rel.5.1L,,,,,,,,,,,,,,,,,,
C0210018,20282,4C,1747832400,0,0,-137,-56,-137,-137,-137,-137,-137,-137,-50,-56,-43,-137,-137,-137,-137,-137,-81,-46,-43,-80,0,0,0,0
53210018,20283,55,1649538000,46761,65472,0,44864,17,94,18,-3330,0,-940,0,-2107,0,46530,65472,1409109,65320,,,,,,,,,
53210018,20284,49,1649538000,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
53210018,20285,55,1649538900,46810,65472,0,44939,17,94,16,-3330,0,-940,0,-2107,0,46648,65472,1410499,65320,,,,,,,,,
63210006,20286,49,18000,127,20,10,10,9,8,28,27,105,81,109,41,50,3,,,,,,,,,,,,
63210006,20287,55,21600,35146,65472,0,42748,17,60,234,-1044,0,-3672,0,-1528,0,35111,65472,2831467,71168,,,,,,,,,
63210006,20288,49,21600,10,3,3,4,3,3,2,2,8,7,9,5,50,3,,,,,,,,,,,,
63210005,20289,55,18000,33734,65472,0,43007,17,21,244,-254,0,-64,0,4061,0,33764,65472,2684109,71140,,,,,,,,,
63210005,2028A,49,18000,0,0,0,0,0,0,0,0,0,0,0,0,50,3,,,,,,,,,,,,
63210005,2028B,55,21600,34176,65472,0,43007,17,21,239,-252,0,-68,0,4062,0,34091,65472,2687993,71138,,,,,,,,,
63210023,2028C,55,1747828800,36364,65472,0,42876,17,41,209,-111,0,6,0,4069,0,36343,65472,2843571,69057,,,,,,,,,
63210022,2028D,49,2336400,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
63210022,2028E,55,2337300,36004,65472,0,43903,17,54,204,-49,0,299,0,4011,0,36023,65472,2851888,71345,,,,,,,,,
63210001,2028F,55,1747828800,35981,65472,0,43269,17,44,202,-8,0,58,0,3992,0,35988,65472,2846714,69215,,,,,,,,,
63210001,20290,49,1747828800,541,514,1072,1472,2135,2355,1387,929,991,983,1826,812,50,3,,,,,,,,,,,,
63210009,20291,55,1747832400,33348,65472,0,44288,17,33,266,1168,0,-78,0,3796,0,33435,65472,2793896,71351,,,,,,,,,
63210009,20292,49,1747832400,1179,1611,950,1197,1304,1521,1789,2214,1485,1470,1214,1577,50,3,,,,,,,,,,,,
C0210018,20293,4B,1747836000,131730,1,0,0,0,0,4030,rel.5.1L,,,,,,,,,,,,,,,,,,
C0210018,20294,4C,1747836000,0,0,-137,-81,-137,-137,-137,-137,-137,-137,-82,-57,-90,-137,-137,-137,-137,-137,-105,-58,-58,-137,0,0,0,0
53210018,20295,49,1649538900,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
53210018,20296,55,104,46853,65472,0,45928,17,95,16,-3329,0,-940,0,-2108,0,46652,65472,1409287,65322,,,,,,,,,
53210018,20297,49,104,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
63210006,20298,55,25200,35180,65472,0,42750,17,61,231,-1044,0,-3672,0,-1528,0,35136,65472,2826009,71182,,,,,,,,,
63210005,20299,49,21600,0,0,0,0,0,0,0,0,0,0,0,0,50,3,,,,,,,,,,,,
63210005,2029A,55,25200,34284,65472,0,43007,17,21,236,-250,0,-69,0,4062,0,34217,65472,2688973,71133,,,,,,,,,
63210005,2029B,49,25200,0,0,0,0,0,0,0,0,0,0,0,0,50,3,,,,,,,,,,,,
63210023,2029C,55,1747825200,36483,65472,0,42877,17,45,203,-111,0,7,0,4068,0,36412,65472,2850330,69030,,,,,,,,,
63210023,2029D,49,1747825200,786,811,2038,2810,3863,4485,1805,1769,1323,1479,2133,1368,50,3,,,,,,,,,,,,
63210023,2029E,55,1747828800,36364,65472,0,42876,17,41,209,-111,0,6,0,4069,0,36343,65472,2843571,69057,,,,,,,,,
63210022,2029F,49,2337300,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
63210022,202A0,55,2338200,36112,65472,0,43904,17,54,204,-49,0,299,0,4011,0,36020,65472,2845976,71352,,,,,,,,,
63210001,202A1,55,1747832400,33353,65472,0,43281,17,36,251,239,0,866,0,3923,0,33028,65472,2798140,69369,,,,,,,,,
63210001,202A2,49,1747832400,3118,3143,2443,2530,2593,2653,5397,6271,3812,4644,4496,5094,50,3,,,,,,,,,,,,
63210001,202A3,55,1747836000,36294,65472,0,43264,17,46,205,-54,0,593,0,3963,0,36320,65472,2845390,69457,,,,,,,,,
63210009,202A4,55,1747836000,36564,65472,0,44287,17,45,203,899,0,541,0,3851,0,36635,65472,2830479,71309,,,,,,,,,
63210009,202A5,49,1747836000,124,117,209,298,344,381,131,209,109,137,90,147,50,3,,,,,,,,,,,,
C0210018,202A6,4B,1747839600,131749,0,204,8,1,8,4030,rel.5.1L,,,,,,,,,,,,,,,,,,
C0210018,202A7,4C,1747839600,0,0,-137,-56,-137,-137,-137,-137,-137,-137,-83,-61,-97,-137,-137,-137,-137,-137,-105,-49,-65,-137,0,0,0,0
53210018,202A8,55,1649540700,46874,65472,0,44986,17,94,14,-3330,0,-940,0,-2108,0,46694,65472,1409995,65320,,,,,,,,,
53210018,202A9,49,1649540700,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
53210018,202AA,55,1649541600,46912,65472,0,45200,17,95,13,-3330,0,-940,0,-2108,0,46717,65472,1410383,65320,,,,,,,,,
53210018,202AB,49,1649541600,0,0,0,0,0,0,0,0,0,0,0,0,100,3,,,,,,,,,,,,
63210006,202AC,49,25200,9,1,0,0,0,0,2,1,7,5,7,2,50,3,,,,,,,,,,,,
63210006,202AD,55,28800,35186,65472,0,42750,17,62,228,-1044,0,-3672,0,-1528,0,35186,65472,2832375,71191,,,,,,,,,
63210005,202AE,55,28800,34228,65472,0,43007,17,21,237,-249,0,-69,0,4062,0,34145,65472,2682402,71124,,,,,,,,,
63210005,202AF,49,28800,0,0,0,0,0,0,0,0,0,0,0,0,50,3,,,,,,,,,,,,
63210005,202B0,55,32400,34324,65472,0,43007,17,20,236,-248,0,-70,0,4062,0,34284,65472,2683790,71118,,,,,,,,,
63210005,202B1,49,32400,0,0,0,0,0,0,0,0,0,0,0,0,50,3,,,,,,,,,,,,
63210023,202B2,49,1747828800,605,426,1300,1399,2107,2308,1106,938,1038,1019,1530,716,50,3,,,,,,,,,,,,
